Species;Treatment;Site;Block;Plot;Tree_ID;Family;DBH;Height;Sampled_density;Chave_local;Nogueira_local;Literature_density;Chave_literature;Nogueira_literature;sp
Mimosa caesalpiniifolia ;CMLT;1;3;2;1218;Fabaceae;33.0;10.6;0.7578;472.72;716.88;0.8000;498.40;759.96;18
Mimosa caesalpiniifolia ;CMLT;1;2;2;1357;Fabaceae;28.0;10.6;0.7578;344.55;509.30;0.8000;363.26;539.91;18
Mimosa caesalpiniifolia ;SAFM;1;2;1;7445;Fabaceae;10.8;11.9;0.7578;59.90;70.75;0.8000;63.16;75.00;18
Mimosa caesalpiniifolia ;DIV;2;1;1;76;Fabaceae;21.3;17.9;0.7578;335.92;340.70;0.8000;354.17;361.18;18
Mimosa caesalpiniifolia ;CMLT;2;1;2;196;Fabaceae;11.9;13.4;0.7578;81.28;90.40;0.8000;85.69;95.83;18
Moquiniastrum polymorphum ;CON;2;3;1;744;Asteraceae;10.8;6.5;0.5885;25.94;43.87;0.9550;41.60;73.90;19
Moquiniastrum polymorphum ;CON;2;3;2;751;Asteraceae;27.4;9.1;0.5885;222.31;351.75;0.9550;356.58;592.49;19
Moquiniastrum polymorphum ;CON;2;3;2;755;Asteraceae;24.3;10.1;0.5885;194.18;282.07;0.9550;311.47;475.12;19
Moquiniastrum polymorphum ;CON;2;3;2;761;Asteraceae;16.2;7.2;0.5885;63.24;106.86;0.9550;101.44;180.00;19
Moquiniastrum polymorphum ;CON;2;3;2;766;Asteraceae;14.6;7.9;0.5885;56.71;88.88;0.9550;90.96;149.71;19
Myroxylon peruiferum ;CMLM;2;1;1;119;Fabaceae;12.3;10.2;0.7021;61.66;81.37;0.8179;71.57;95.91;20
Myroxylon peruiferum ;CMLM;2;1;1;131;Fabaceae;14.5;11.2;0.7021;93.14;118.86;0.8179;108.11;140.11;20
Myroxylon peruiferum ;CMLT;2;1;1;183;Fabaceae;12.9;17;0.7021;111.40;107.03;0.8179;129.31;126.17;20
Myroxylon peruiferum ;CMLT;1;3;2;1219;Fabaceae;17;15.3;0.7021;172.26;184.87;0.8179;199.95;217.92;20
Myroxylon peruiferum ;CMLM;1;2;2;3583;Fabaceae;23.5;16.6;0.7021;350.95;376.36;0.8179;407.36;443.65;20
Myroxylon peruiferum ;CMLM;1;2;2;3584;Fabaceae;20.2;16.2;0.7021;255.05;271.23;0.8179;296.05;319.72;20
Parapiptadenia rigida ;SEM;2;1;1;242;Fabaceae;11;9;0.7264;45.36;63.90;0.7667;47.81;67.72;21
Parapiptadenia rigida ;SEM;2;1;2;254;Fabaceae;11.5;13.4;0.7264;72.96;80.36;0.7667;76.90;85.16;21
Parapiptadenia rigida ;CMLM;2;3;1;677;Fabaceae;10.5;4.9;0.7264;22.88;47.11;0.7667;24.12;49.93;21
Peltophorum dubium ;SAFM;1;3;2;3244;Fabaceae;13.4;15.7;0.5284;84.13;83.11;0.6999;110.68;112.50;22
Peltophorum dubium ;SAFM;1;3;2;3249;Fabaceae;30.8;22.5;0.5284;606.75;543.83;0.6999;798.29;736.11;22
Peltophorum dubium ;CMLM;1;2;2;3593;Fabaceae;38.8;17.9;0.5284;761.75;819.00;0.6999;1002.22;1108.57;22
