species,treatment,site,block,plot,tree_id,family,DBH_cm,height_m,reference_level,field_mean,reference_wd,Chave_field_kg,Chave_GWDD_kg,Chave_difference_kg,Chave_difference_pct,Nogueira_field_kg,Nogueira_GWDD_kg,Nogueira_difference_kg,Nogueira_difference_pct
Anadenanthera colubrina,DIV,2,2,1,441,Fabaceae,28.3,21,species,0.6818229279875,0.77,616.6684093167956,694.3895329852874,77.72112366849171,12.603389843594975,584.7011593427134,666.5306903950657,81.82953105235231,13.995103266827835
Anadenanthera colubrina,SAFT,2,3,1,701,Fabaceae,17.6,20.6,species,0.6818229279875,0.77,239.4714157862245,269.65293188173865,30.181516095514155,12.603389843594993,213.23407168460372,243.07640021692572,29.842328532322,13.995103266827842
Aspidosperma polyneuron,CMLM,1,2,1,1372,Apocynaceae,13.3,10.6,species,0.7026137057387057,0.68,74.62209030964833,72.27709530786832,-2.3449950017800063,-3.1424943901320974,97.29498478834522,93.92663350295706,-3.368351285388158,-3.4619988817672813
Aspidosperma polyneuron,CMLM,1,2,1,1373,Apocynaceae,13,10.3,species,0.7026137057387057,0.68,69.39961124127274,67.21873235124227,-2.1808788900304705,-3.1424943901320836,91.82155169367776,88.64269060082128,-3.1788610928564793,-3.4619988817672693
Aspidosperma polyneuron,CMLM,1,2,1,1389,Apocynaceae,13.4,8.2,species,0.7026137057387057,0.68,58.93881080964218,57.08666198633862,-1.8521488233035583,-3.142494390132068,90.58313188994413,87.44714487684448,-3.1359870130996512,-3.4619988817672858
Aspidosperma polyneuron,SAFM,1,2,2,7476,Apocynaceae,15,11.1,species,0.7026137057387057,0.68,98.71334021653004,95.61127903791358,-3.1020611786164665,-3.1424943901320956,127.38604885481871,122.97594526793738,-4.410103586881334,-3.4619988817672716
Cedrela fissilis,CMLM,1,1,1,1658,Meliaceae,13.8,12.1,species,0.35459042872117114,0.43,46.815657030255664,56.50967049465711,9.694013464401444,20.70677649175461,52.67367111213527,64.83106052731645,12.157389415181186,23.08058116796096
Cedrela fissilis,CMLM,1,1,1,1661,Meliaceae,17.2,13.7,species,0.35459042872117114,0.43,81.23429703915639,98.05530136170253,16.821004322546145,20.70677649175461,87.44836728215759,107.6319586727726,20.183591390615007,23.08058116796097
Cedrela fissilis,DIV,1,3,1,1702,Meliaceae,10.9,9.7,species,0.35459042872117114,0.43,23.80643480527111,28.735980051053875,4.929545245782766,20.70677649175461,29.701199563182932,36.55640903622144,6.8552094730385065,23.080581167960972
Cedrela fissilis,SAFM,2,2,1,309,Meliaceae,19.9,14.3,species,0.35459042872117114,0.43,112.59466224054947,135.90938729234608,23.314725051796614,20.70677649175462,120.6968493468255,148.55438362749115,27.857534280665647,23.080581167960982
Cedrela fissilis,SAFM,2,2,2,339,Meliaceae,21.1,9.7,species,0.35459042872117114,0.43,86.4245625808243,104.32030358841217,17.895741007587873,20.706776491754603,119.68509251994443,147.3091074449594,27.624014925014976,23.080581167960986
Cedrela fissilis,CMLM,2,3,1,684,Meliaceae,17.7,9,species,0.35459042872117114,0.43,57.00764885094549,68.81209528171509,11.804446430769595,20.706776491754603,80.53186090606388,99.11908242855739,18.587221522493508,23.080581167960975
Ceiba speciosa,DIV,1,3,1,1728,Malvaceae,16.1,11.5,species,0.37105141555,0.28,62.91409313913185,47.79764562230233,-15.116447516829517,-24.027124548072454,75.26032391393572,55.574397749468744,-19.685926164466977,-26.15711060050566
Ceiba speciosa,DIV,1,3,NA,4996,Malvaceae,17.5,14,species,0.37105141555,0.28,89.70444686608701,68.15104769241282,-21.553399173674194,-24.027124548072443,95.94448893799527,70.84818285139393,-25.096306086601345,-26.15711060050566
Ceiba speciosa,SEM,1,2,NA,4999,Malvaceae,51,21.4,species,0.37105141555,0.28,1095.0742458781663,831.9593929271541,-263.11485295101215,-24.02712454807245,1058.8634889784018,781.8953950579481,-276.9680939204537,-26.157110600505668
Ceiba speciosa,SEM,1,1,NA,460b,Malvaceae,30.2,13.6,species,0.37105141555,0.28,252.9823753208386,192.19798491782868,-60.78439040300992,-24.027124548072422,300.43055320957484,221.84660112883537,-78.58395208073946,-26.15711060050565
Ceiba speciosa,SEM,1,1,NA,203,Malvaceae,21.4,11.5,species,0.37105141555,0.28,109.64567777918933,83.3009742176053,-26.344703561584026,-24.02712454807246,137.19445110970494,101.30834679518277,-35.88610431452217,-26.15711060050565
Centrolobium tomentosum,DIV,1,1,2,1322,Fabaceae,11.9,10.7,species,0.5710525018593064,0.6,49.50819735839367,51.956145010949804,2.447947652556131,4.944529963058942,61.741953682451474,65.11921712273465,3.37726344028318,5.46996529726444
Centrolobium tomentosum,CMLM,1,1,2,1681,Fabaceae,11.2,9.6,species,0.5710525018593064,0.6,39.56409004137027,41.520348328077425,1.956258286707154,4.944529963058897,52.36101320657493,55.225142458270625,2.8641292516956938,5.469965297264429
Centrolobium tomentosum,DIV,1,2,2,4971,Fabaceae,22.2,20,species,0.5710525018593064,0.6,307.90529663693326,323.12976628699187,15.224469650058609,4.944529963058918,284.6693890478083,300.2407058406581,15.571316792849814,5.469965297264441
Centrolobium tomentosum,DIV,2,1,2,95,Fabaceae,12.9,19.5,species,0.5710525018593064,0.6,104.10600309193846,109.25355560816239,5.147552516223925,4.944529963058903,89.77219646930872,94.68270446277195,4.910507993463227,5.469965297264426
Centrolobium tomentosum,DIV,2,2,1,455,Fabaceae,22.2,16.9,species,0.5710525018593064,0.6,261.23376381074445,274.1505455359933,12.916781725248825,4.944529963058918,268.8264830163032,283.5311983471514,14.704715330848217,5.46996529726442
Centrolobium tomentosum,CMLM,2,2,1,522,Fabaceae,16.2,12.8,species,0.5710525018593064,0.6,107.6815049610606,113.00584923853302,5.32434427747242,4.944529963058922,125.80962418189098,132.69136696525922,6.881742783368239,5.469965297264432
Citharexylum myrianthum,DIV,1,1,2,1325,Verbenaceae,28.2,12,species,0.3770516604243474,0.47,198.9525256886196,246.688968567135,47.73644287851539,23.99388633709916,253.49924312679346,321.3973831136962,67.89813998690275,26.784356098823515
Citharexylum myrianthum,DIV,1,3,1,1722,Verbenaceae,17.1,18.8,species,0.3770516604243474,0.47,116.13650964238884,144.00217176185785,27.865662119469008,23.993886337099177,102.76965212970454,130.29584171764677,27.526189587942227,26.784356098823512
Citharexylum myrianthum,DIV,1,3,1,1724,Verbenaceae,17.3,17.4,species,0.3770516604243474,0.47,110.16010999821438,136.59180158000936,26.43169158179498,23.993886337099173,102.58726387213697,130.06460193968985,27.47733806755288,26.7843560988235
Citharexylum myrianthum,DIV,1,3,1,1730,Verbenaceae,18.3,12.5,species,0.3770516604243474,0.47,89.01659975233329,110.37514151805864,21.35854176572535,23.993886337099166,103.21685654118303,130.8628269511853,27.645970410002263,26.784356098823505
Citharexylum myrianthum,DIV,1,3,2,1750,Verbenaceae,12.6,13,species,0.3770516604243474,0.47,44.638985629980574,55.34961310407215,10.710627474091574,23.993886337099173,47.593979013843246,60.34171983451035,12.747740820667104,26.78435609882351
Citharexylum myrianthum,DIV,1,2,2,4968,Verbenaceae,26.5,16.3,species,0.3770516604243474,0.47,237.60378197635708,294.61416335641314,57.01038138005606,23.993886337099177,246.73002587780462,312.8150746116352,66.0850487338306,26.78435609882352
Copaifera langsdorffii,CMLM,1,2,1,1374,Fabaceae,10.9,8.9,species,0.5749191029933367,0.61,35.07942065309619,37.16705528442603,2.087634631329834,5.951166217865045,48.540547693638686,51.737858216564106,3.19731052292542,6.586885964091486
Copaifera langsdorffii,DIV,1,3,2,1760,Fabaceae,12.7,14.6,species,0.5749191029933367,0.61,76.63452896298884,81.19517716185423,4.560648198865394,5.951166217865043,79.2953976834037,84.51849510358235,5.223097420178647,6.586885964091489
Copaifera langsdorffii,DIV,1,3,2,1762,Fabaceae,13.6,16.1,species,0.5749191029933367,0.61,96.36542606995106,102.10029275192768,5.7348666819766265,5.951166217865029,94.71746231763134,100.95639354857506,6.23893123094372,6.586885964091505
Copaifera langsdorffii,CMLM,2,3,1,682,Fabaceae,10.6,7.7,species,0.5749191029933367,0.61,28.840530095517984,30.556877979615646,1.7163478840976616,5.9511662178650235,43.565668409519084,46.43528930714834,2.869620897629254,6.586885964091493
Copaifera langsdorffii,DIV,2,2,2,463,Fabaceae,13.8,12.8,species,0.5749191029933367,0.61,79.26329987077081,83.98039059584521,4.717090725074399,5.951166217865069,90.35213542444609,96.30352755097586,5.951392126529768,6.586885964091483
Copaifera langsdorffii,CMLM,2,3,1,676,Fabaceae,12.1,7.7,species,0.5749191029933367,0.61,37.34248647863466,39.56479991886197,2.2223134402273104,5.951166217864997,57.60048460848722,61.39456284441235,3.7940782359251273,6.586885964091496
Croton floribundus,DIV,1,3,2,1754,Euphorbiaceae,21.1,16,species,0.43035600922097733,0.48,170.15766710744842,189.28969336920173,19.13202626175331,11.243705080695616,174.7894008058975,196.59808742633842,21.808686620440938,12.477121907786243
Croton floribundus,SEM,1,2,2,1999,Euphorbiaceae,18.1,13.3,species,0.43035600922097733,0.48,105.31708900995122,117.15863189780386,11.84154288785264,11.243705080695646,118.76532723203471,133.58382189495694,14.818494662922234,12.477121907786254
Croton floribundus,DIV,1,2,2,4973,Euphorbiaceae,16,13.6,species,0.43035600922097733,0.48,84.60718536563489,94.12016776522435,9.512982399589461,11.243705080695632,92.25177073915033,103.7621366363656,11.510365897215266,12.477121907786243
Croton floribundus,DIV,2,1,2,105,Euphorbiaceae,14.3,13,species,0.43035600922097733,0.48,65.02131131232346,72.33211579588212,7.310804483558655,11.24370508069566,71.67671575382052,80.61990695792213,8.943191204101609,12.477121907786236
Croton floribundus,DIV,2,2,1,456,Euphorbiaceae,23.3,14,species,0.43035600922097733,0.48,181.27202551192127,201.6537174542851,20.38169194236383,11.243705080695662,205.91256298551625,231.60452449266623,25.691961507149983,12.477121907786238
Croton floribundus,CMLM,2,2,1,510,Euphorbiaceae,12,8.2,species,0.43035600922097733,0.48,29.449313756248078,32.76050774328934,3.3111939870412606,11.243705080695625,42.329920980726264,47.61147682496109,5.281555844234823,12.477121907786293
Dipteryx alata,DIV,1,3,1,1713,Fabaceae,10.2,13.8,species,0.6943936652986127,0.83,56.850174240734184,67.6619961319804,10.811821891246218,19.018098072071258,60.02889457626699,72.7441474531103,12.715252876843309,21.181887433706645
Dipteryx alata,DIV,1,3,2,1740,Fabaceae,13,16.9,species,0.6943936652986127,0.83,111.23901225509456,132.39455670017185,21.155544445077282,19.01809807207129,107.28945695044153,130.0153889499192,22.72593199947768,21.18188743370665
Dipteryx alata,DIV,1,3,2,1742,Fabaceae,15.6,15.5,species,0.6943936652986127,0.83,145.93693803504854,173.69136803393195,27.75442999888341,19.018098072071272,153.05967050145136,185.4805976134711,32.42092711201974,21.181887433706656
Dipteryx alata,DIV,2,1,2,101,Fabaceae,14,14.2,species,0.6943936652986127,0.83,108.46699943243802,129.09535976033203,20.628360327894015,19.01809807207124,118.23969111962596,143.28508939454758,25.045398274921624,21.18188743370666
Dipteryx alata,DIV,2,2,2,474,Fabaceae,10.7,12.3,species,0.6943936652986127,0.83,55.78620254432554,66.3956772548897,10.609474710564164,19.018098072071297,63.85907198325616,77.38562872695918,13.526556743703026,21.18188743370666
Dipteryx alata,DIV,2,2,2,480,Fabaceae,18.3,12.8,species,0.6943936652986127,0.83,165.33459429302877,196.77808958273815,31.443495289709375,19.01809807207128,200.85298164281062,243.39743412163426,42.544452478823644,21.181887433706656
Enterolobium contortisiliquum,SAFM,1,1,2,2012,Fabaceae,10.4,8.9,species,0.3268356015,0.41,18.443962971527316,23.011547909365436,4.56758493783812,24.76466117877857,23.92827366353078,30.545473588362622,6.617199924831841,27.654313962971568
Enterolobium contortisiliquum,CMLM,1,3,2,1269,Fabaceae,18.8,10.3,species,0.3268356015,0.41,67.55939782421154,84.29025378980062,16.730855965589072,24.764661178778542,87.70334086482256,111.95709810359578,24.25375723877322,27.654313962971617
Enterolobium contortisiliquum,CMLM,1,1,2,1695,Fabaceae,25.8,16,species,0.3268356015,0.41,192.62084599780408,240.32274586885708,47.701899871053,24.76466117877855,198.65376135943706,253.59009622502816,54.93633486559111,27.654313962971614
Enterolobium contortisiliquum,CMLT,2,2,1,492,Fabaceae,14.5,8.3,species,0.3268356015,0.41,32.96181179892859,41.12469280931992,8.162881010391324,24.76466117877857,47.11416026847763,60.14325807014007,13.029097801662438,27.65431396297162
Enterolobium contortisiliquum,SAFM,2,2,2,332,Fabaceae,25.2,10.4,species,0.3268356015,0.41,120.82558641310032,150.74763350557686,29.922047092476532,24.764661178778503,163.27695602849448,208.43007807779745,45.153122049302965,27.65431396297161
Enterolobium contortisiliquum,SAFM,2,3,1,715,Fabaceae,26.2,9.4,species,0.3268356015,0.41,118.11292443474592,147.3631899793575,29.250265544611565,24.76466117877855,171.26066014566527,218.62162079740534,47.36096065174007,27.654313962971614
Ficus guaranitica,DIV,1,1,2,1323,Moraceae,22.3,14,genus,0.5367133078499999,0.43,206.42185037699852,166.26174424753285,-40.160106129465674,-19.45535613411045,238.11404902621726,187.5417744994816,-50.57227452673567,-21.238677320197716
Ficus guaranitica,DIV,1,3,1,1720,Moraceae,24.6,17.4,genus,0.5367133078499999,0.43,309.1185066529849,248.9784003072028,-60.14010634578207,-19.455356134110435,315.38283104868134,248.3996892389476,-66.98314180973375,-21.238677320197713
Ficus guaranitica,DIV,1,3,NA,413,Moraceae,40.1,16.3,genus,0.5367133078499999,0.43,752.7946579210399,606.3357762639431,-146.45888165709675,-19.455356134110442,864.8815619061527,681.1921577710189,-183.68940413513383,-21.238677320197716
Ficus guaranitica,DIV,2,2,1,442,Moraceae,15.6,11.6,genus,0.5367133078499999,0.43,85.53302362064314,68.8922692629742,-16.64075435766894,-19.455356134110456,105.09615944332133,82.77512526323382,-22.32103418008751,-21.23867732019771
Ficus guaranitica,DIV,2,1,NA,313,Moraceae,14.4,13.3,genus,0.5367133078499999,0.43,83.6077232999139,67.34154297629401,-16.266180323619892,-19.455356134110453,92.98922820710347,73.23954608565448,-19.749682121448984,-21.23867732019772
Hymenaea courbaril,CMLM,1,1,1,1672,Fabaceae,12.4,11.2,species,0.7560851626023333,0.75,73.77275499013942,73.19320707315694,-0.5795479169824773,-0.785585297797189,92.53802902217156,91.73616173667129,-0.8018672855002649,-0.8665273012332501
Hymenaea courbaril,CMLT,1,3,1,1203,Fabaceae,16.4,15.3,species,0.7560851626023333,0.75,172.6370914387341,171.28087982984664,-1.3562116088874632,-0.7855852977972344,185.60170763128582,183.99341816310564,-1.6082894681801747,-0.8665273012332321
Hymenaea courbaril,SAFM,1,2,2,7465,Fabaceae,28.1,13.1,species,0.7560851626023333,0.75,424.4549509089694,421.12049521885615,-3.334455690113259,-0.7855852977972171,548.414510538624,543.6623490808821,-4.752161457741863,-0.8665273012332477
Hymenaea courbaril,DIV,2,1,2,98,Fabaceae,11.8,16.5,species,0.7560851626023333,0.75,97.74129536331628,96.97345411706553,-0.7678412462507538,-0.7855852977972049,95.07841609293412,94.2545356599087,-0.8238804330254226,-0.8665273012332505
Hymenaea courbaril,CMLT,2,3,2,668,Fabaceae,13.9,8.5,species,0.7560851626023333,0.75,70.43326876546782,69.8799553612883,-0.5533134041795194,-0.7855852977972237,107.20869881848131,106.27970617392225,-0.9289926445590595,-0.8665273012332408
Hymenaea courbaril,SAFM,2,3,2,722,Fabaceae,21.2,14.9,species,0.7560851626023333,0.75,277.67544792735816,275.49407043284833,-2.1813774945098316,-0.785585297797195,316.1683258502423,313.4286409888978,-2.7396848613444718,-0.866527301233256
Lonchocarpus cultratus,CMLT,1,3,2,1216,Fabaceae,26.2,25.4,species,0.55787097362688,0.65,525.13848549225645,609.6215746470149,84.48308915475843,16.08777331860668,427.09231290545796,503.51518734819297,76.42287444273501,17.893760232498526
Lonchocarpus cultratus,CON,1,1,2,1768,Fabaceae,13.4,9.2,species,0.55787097362688,0.65,52.64989448264098,61.120090159493856,8.470195676852875,16.087773318606658,73.47533118218813,86.62283077396317,13.147499591775045,17.89376023249863
Lonchocarpus cultratus,SEM,1,2,1,1966,Fabaceae,18.2,15.5,species,0.55787097362688,0.65,159.241076927922,184.85942041419418,25.61834348627218,16.087773318606683,167.38863677888446,197.34075810054588,29.952121321661423,17.893760232498522
Lonchocarpus cultratus,SEM,1,2,1,1968,Fabaceae,13.7,8.9,species,0.55787097362688,0.65,53.22494395629112,61.78765228893468,8.56270833264356,16.087773318606676,76.1264478192465,89.74833186554056,13.62188404629407,17.89376023249853
Lonchocarpus cultratus,SEM,1,2,1,1975,Fabaceae,13.9,12.3,species,0.55787097362688,0.65,75.08346354595196,87.1627209609834,12.07925741503145,16.087773318606704,87.61763630377833,103.29572606535909,15.678089761580765,17.893760232498625
Lonchocarpus cultratus,SEM,1,1,1,3269,Fabaceae,17.7,16.5,species,0.55787097362688,0.65,160.3024517497226,186.09154681138685,25.789095061664256,16.087773318606704,161.2243740573262,190.07347698749072,28.84910293016452,17.893760232498533
Luehea divaricata,DIV,2,1,NA,496,Malvaceae,19.9,8.1,species,0.6699996744166666,0.51,120.31130824332189,92.18200280985974,-28.12930543346215,-23.380433513840973,197.42081205801554,147.1511560704666,-50.26965598754893,-25.463199884304153
Luehea divaricata,DIV,1,2,1,4964,Malvaceae,20.64606500038203,9.6,species,0.6699996744166666,0.51,152.58891319644565,116.91296379705814,-35.675949399387505,-23.380433513840984,226.05126311794206,168.49137814922614,-57.55988496871592,-25.463199884304164
Luehea divaricata,DIV,1,2,2,4974,Malvaceae,33.752185114448515,12.3,species,0.6699996744166666,0.51,507.2902928849248,388.68362323479573,-118.60666965012905,-23.380433513840984,693.7656149604397,517.1106896944909,-176.6549252659488,-25.46319988430417
Luehea divaricata,DIV,1,1,1,1312,Malvaceae,23.263060847618483,6.3,species,0.6699996744166666,0.51,127.68913534202225,97.83486194898231,-29.854273393039946,-23.380433513840988,251.98279606204125,187.81991302670517,-64.16288303533608,-25.463199884304164
Luehea divaricata,DIV,1,1,NA,2876,Malvaceae,30.6,12,species,0.6699996744166666,0.51,408.95261192529864,313.3377183909881,-95.61489353431057,-23.380433513840984,559.3992372439956,416.9582913132841,-142.44094593071145,-25.463199884304164
Machaerium brasiliense,CON,1,1,1,1270,Fabaceae,14.9,7.9,species,0.518217199969604,0.61,51.94242733686874,60.90327125755957,8.960843920690827,17.25149243137203,80.61041784255616,96.08645498479545,15.476037142239292,19.19855715481619
Machaerium brasiliense,CON,1,1,1,1271,Fabaceae,16.4,10,species,0.518217199969604,0.61,78.84130337476213,92.44260485925429,13.601301484492154,17.251492431372036,106.92898743998302,127.45781020871439,20.528822768731374,19.1985571548162
Machaerium brasiliense,CON,1,1,2,1276,Fabaceae,15.7,9.5,species,0.518217199969604,0.61,68.87045689150793,80.75163854959773,11.881181658089801,17.251492431371993,95.840534546028607,114.24053434832926,18.399999802300655,19.19855715481619
Machaerium brasiliense,CON,1,1,1,3288,Fabaceae,10.3,9.2,species,0.518217199969604,0.61,29.31526240606046,34.37258268127883,5.05732027521837,17.25149243137203,38.9537560692409,46.43231519214182,7.4785591229009185,19.19855715481625
Machaerium brasiliense,CON,1,1,1,3297,Fabaceae,13,10.7,species,0.518217199969604,0.61,53.514884766032075,62.74700106110156,9.232116295069481,17.25149243137202,67.01714040307455,79.88346440688224,12.86632400380769,19.198557154816204
Machaerium brasiliense,DIV,1,2,1,4965,Fabaceae,19.4,14.8,species,0.518217199969604,0.61,160.45121678316028,188.13144630255147,27.68022951939119,17.25149243137201,174.15083788947288,207.58528603727464,33.43444814780176,19.1985571548162
Machaerium hirtum,DIV,1,1,2,1321,Fabaceae,14.9,13.8,species,0.3448342583099033,0.51,60.1595257541163,88.14245454823015,27.982928794113846,46.51454352962409,62.839688459683856,95.78129321912414,32.94160475944028,52.421655114625004
Machaerium hirtum,DIV,1,3,1,1721,Fabaceae,16.7,16.2,species,0.3448342583099033,0.51,87.89254208474992,128.77535683205411,40.882814747304195,46.51454352962411,84.41487206499987,128.66654516436603,44.25167309936616,52.42165511462501
Machaerium hirtum,DIV,1,2,2,4976,Fabaceae,15.9,10.7,species,0.3448342583099033,0.51,53.27562746593958,78.0565423942644,24.78091492832482,46.51454352962406,66.0983356722345,100.74817723484033,34.64984156260583,52.42165511462487
Machaerium hirtum,DIV,2,2,1,451,Fabaceae,24.5,11.9,species,0.3448342583099033,0.51,137.43864053809992,201.36759681771798,63.92895627961806,46.514543529624085,170.63908450958303,260.0909168819499,89.45183237236688,52.42165511462487
Machaerium hirtum,DIV,2,2,2,460,Fabaceae,24.4,19,species,0.3448342583099033,0.51,215.26393519968832,315.3929720417291,100.12903684204076,46.51454352962407,198.34482117773933,302.32045927325356,103.97563809551423,52.42165511462501
Machaerium hirtum,DIV,2,2,2,475,Fabaceae,14.4,11.9,species,0.3448342583099033,0.51,48.70575037650418,71.36100783681326,22.65525746030908,46.514543529624085,55.60104227114507,84.7480288906616,29.146986619516532,52.42165511462501
Mimosa caesalpiniifolia,CMLT,1,3,2,1218,Fabaceae,32.973019273339226,10.6,species,0.7578759532405254,0.75,472.767023143407,467.97127526202723,-4.795747881379782,-1.0143998304900936,716.9547894581306,708.9336120538101,-8.021177404320497,-1.118784269560825
Mimosa caesalpiniifolia,CMLT,1,2,2,1357,Fabaceae,28.04086303950005,10.6,species,0.7578759532405254,0.75,344.58004823637253,341.0846288111602,-3.495419425212333,-1.0143998304900608,509.3504361288532,503.65190357250407,-5.698532556349107,-1.118784269560833
Mimosa caesalpiniifolia,SAFM,1,2,1,7445,Fabaceae,10.8,11.9,species,0.7578759532405254,0.75,59.90731312446503,59.2996134416793,-0.6076996827857286,-1.0143998304900699,70.75920997454837,69.96756706408762,-0.7916429104607516,-1.1187842695608112
Mimosa caesalpiniifolia,DIV,2,1,1,76,Fabaceae,21.3,17.9,species,0.7578759532405254,0.75,335.9575309190998,332.54957829493776,-3.4079526241620215,-1.0143998304900845,340.74059561239636,336.928443428677,-3.812152183719377,-1.1187842695608319
Mimosa caesalpiniifolia,CMLT,2,1,2,196,Fabaceae,11.9,13.4,species,0.7578759532405254,0.75,81.2876911921307,80.46310899046843,-0.8245822016622668,-1.0143998304900719,90.40503203278871,89.39359475551444,-1.0114372772742684,-1.1187842695608288
Moquiniastrum polymorphum,CON,2,3,1,744,Asteraceae,10.8,6.5,species,0.5885885858893161,0.61,25.94167551794312,26.86232442960391,0.9206489116607877,3.548918461430916,43.87808990556723,45.59955440109073,1.7214644955234988,3.923289503322432
Moquiniastrum polymorphum,CON,2,3,2,751,Asteraceae,27.437201023428027,9.1,species,0.5885885858893161,0.61,222.33872695731438,230.229347085213,7.8906201278986146,3.5489184614309197,351.8067037055965,365.60909918406287,13.802395478466394,3.9232895033224544
Moquiniastrum polymorphum,CON,2,3,2,755,Asteraceae,24.3,10.1,species,0.5885885858893161,0.61,194.21041795873535,201.10278733569507,6.892369376959721,3.5489184614309255,282.11849132286966,293.18681647987154,11.06832515700188,3.9232895033224775
Moquiniastrum polymorphum,CON,2,3,2,761,Asteraceae,16.2,7.2,species,0.5885885858893161,0.61,63.253016402423896,65.49781437894144,2.244797976517546,3.5489184614309144,106.88155848477999,111.07483144980083,4.193272965020839,3.9232895033224686
Moquiniastrum polymorphum,CON,2,3,2,766,Asteraceae,14.624978632463025,7.9,species,0.5885885858893161,0.61,56.71544788309539,58.72823288350178,2.0127850004063887,3.5489184614308926,88.8949758474626,92.38258310386715,3.4876072564045444,3.923289503322469
Myroxylon peruiferum,CMLM,2,1,1,119,Fabaceae,12.3,10.2,species,0.7021194297964848,0.78,61.65960483104708,68.32630600009824,6.666701169051159,10.812104922369395,81.36810138834754,91.12875390095685,9.760652512609312,11.99567440565487
Myroxylon peruiferum,CMLM,2,1,1,131,Fabaceae,14.5,11.2,species,0.7021194297964848,0.78,93.14066243096597,103.2111285783919,10.070466147425918,10.812104922369379,118.86416704626977,133.12272551013402,14.258558463864247,11.995674405654881
Myroxylon peruiferum,CMLT,2,1,1,183,Fabaceae,12.9,17,species,0.7021194297964848,0.78,111.40417162142379,123.44930754502859,12.045135923604803,10.81210492236939,107.03535675232094,119.87496964726049,12.839612894939549,11.995674405654874
Myroxylon peruiferum,CMLT,1,3,2,1219,Fabaceae,17,15.3,species,0.7021194297964848,0.78,172.26907544487474,190.89498863077029,18.62591318589554,10.812104922369391,184.87264275442038,207.04936304437035,22.17672028994997,11.995674405654979
Myroxylon peruiferum,CMLM,1,2,2,3583,Fabaceae,23.5,16.6,species,0.7021194297964848,0.78,350.96366205312626,388.9102214337002,37.946559380573945,10.812104922369393,376.37457511069374,421.52324368663994,45.1486685759462,11.99567440565499
Myroxylon peruiferum,CMLM,1,2,2,3584,Fabaceae,20.2,16.2,species,0.7021194297964848,0.78,255.06138831123198,282.6388932318944,27.577504920662392,10.81210492236938,271.2419346796117,303.77923401537703,32.53729933576534,11.995674405654892
Parapiptadenia rigida,SEM,2,1,1,242,Fabaceae,11,9,species,0.7264324824506226,0.76,45.360814501578176,47.40545735978104,2.044642858202863,4.507509136838199,63.904878005741296,67.09079820824368,3.1859202025023876,4.985410037424937
