treatment,site,block,plot,tree_id,family,scientific_name,height_m,DBH1_cm,DBH2_cm,DBH3_cm,DBH4_cm,DBH5_cm,DBH6_cm,DBH7_cm,DBH8_cm,DBH9_cm,DBH10_cm,DBH11_cm
DIV,1,3,1,1725,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,12.6,12.7,,,,,,,,,,
DIV,1,3,1,1726,Verbenaceae,Citharexylum myrianthum Cham.,12.2,6.8,,,,,,,,,,
DIV,1,3,1,1727,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,18.5,35.7,,,,,,,,,,
DIV,1,3,1,1728,Malvaceae,Ceiba speciosa (A. St.-Hill) Ravenna,11.5,16.1,,,,,,,,,,
DIV,1,3,1,1729,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,25.6,32.5,36.0,,,,,,,,,
DIV,1,3,1,1730,Verbenaceae,Citharexylum myrianthum Cham.,12.5,18.3,,,,,,,,,,
DIV,1,3,1,1731,Fabaceae,Anadenanthera peregrina falcata,17.0,24.5,,,,,,,,,,
DIV,1,3,1,1732,Fabaceae,Hymenaea courbaril L.,15.0,15.1,,,,,,,,,,
DIV,1,3,1,1733,Moraceae,Ficus sp.,18.7,20.5,,,,,,,,,,
DIV,1,3,1,1734,Moraceae,Ficus sp.,6.8,7.6,,,,,,,,,,
DIV,1,3,2,1735,Myrtaceae,Eugenia uniflora L.,10.4,5.3,,,,,,,,,,
DIV,1,3,2,1736,Apocynaceae,Tabernaemontana hystrix Steud.,12.0,7.7,2.1,1.6,,,,,,,,
DIV,1,3,2,1737,Fabaceae,Schizolobium parahyba (Vell.) Blake,23.4,38.9,,,,,,,,,,
DIV,1,3,2,1738,Lecythidaceae.,Cariniana estrellensis (Raddi) Kuntze,7.2,5.8,,,,,,,,,,
DIV,1,3,2,1739,Fabaceae,Schizolobium parahyba (Vell.) Blake,12.9,10.2,,,,,,,,,,
DIV,1,3,2,1740,Fabaceae,Dipteryx alata Vogel,16.9,13.0,,,,,,,,,,
DIV,1,3,2,1741,Meliaceae,Cedrela fissilis Vell.,17.8,26.0,,,,,,,,,,
DIV,1,3,2,1742,Fabaceae,Dipteryx alata Vogel,15.5,15.6,,,,,,,,,,
DIV,1,3,2,1744,Fabaceae,Platypodium elegans Vogel,13.0,8.4,,,,,,,,,,
DIV,1,3,2,1745,Apocynaceae,Tabernaemontana hystrix Steud.,10.1,8.0,4.9,,,,,,,,,
DIV,1,3,2,1746,Sapindaceae,Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.,7.1,8.2,,,,,,,,,,
DIV,1,3,2,1747,Fabaceae,Copaifera langsdorffii Desf.,12.1,12.9,,,,,,,,,,
DIV,1,3,2,1748,Verbenaceae,Citharexylum myrianthum Cham.,19.2,25.6,,,,,,,,,,
DIV,1,3,2,1749,Fabaceae,Hymenaea courbaril L.,11.0,8.1,,,,,,,,,,
DIV,1,3,2,1750,Verbenaceae,Citharexylum myrianthum Cham.,13.0,12.6,,,,,,,,,,
DIV,1,3,2,1751,Fabaceae,Copaifera langsdorffii Desf.,10.2,6.9,,,,,,,,,,
DIV,1,3,2,1752,Fabaceae,Hymenaea courbaril L.,17.6,12.7,,,,,,,,,,
DIV,1,3,2,1753,Verbenaceae,Citharexylum myrianthum Cham.,18.6,22.9,20.8,,,,,,,,,
DIV,1,3,2,1754,Euphorbiaceae,Croton floribundus Spreng.,16.0,21.1,,,,,,,,,,
DIV,1,3,2,1755,Fabaceae,Poecilanthe parviflora Benth.,14.4,8.4,,,,,,,,,,
DIV,1,3,2,1756,Myrtaceae,Psidium guajava L.,6.7,5.4,,,,,,,,,,
DIV,1,3,2,1757,Fabaceae,Hymenaea courbaril L.,10.0,7.6,,,,,,,,,,
DIV,1,3,2,1758,Fabaceae,Copaifera langsdorffii Desf.,9.8,6.1,,,,,,,,,,
DIV,1,3,2,1759,Verbenaceae,Citharexylum myrianthum Cham.,13.6,10.3,,,,,,,,,,
DIV,1,3,2,1760,Fabaceae,Copaifera langsdorffii Desf.,14.6,12.7,,,,,,,,,,
DIV,1,3,2,1761,Verbenaceae,Citharexylum myrianthum Cham.,20.1,33.2,,,,,,,,,,
DIV,1,3,2,1762,Fabaceae,Copaifera langsdorffii Desf.,16.1,13.6,,,,,,,,,,
DIV,1,3,2,1763,Fabaceae,Hymenaea courbaril L.,12.9,11.9,,,,,,,,,,
DIV,1,3,2,1764,Apocynaceae,Aspidosperma ramiflorum Müll.Arg.,12.5,7.7,,,,,,,,,,
DIV,1,3,2,1765,Anacardiaceae,Schinus terebinthifolia Raddi.,13.7,7.5,12.5,11.8,15.1,8.5,,,,,,
DIV,1,3,2,1766,Fabaceae,Pterogyne nitens Tul.,11.4,7.9,,,,,,,,,,
CON,1,1,2,1767,Fabaceae,Machaerium brasiliensis,7.6,10.1,,,,,,,,,,
CON,1,1,2,1768,Fabaceae,Lonchocaspus cultratus,9.2,13.4,,,,,,,,,,
CON,1,1,2,1769,Apocynaceae,Tabernaemontana hystrix Steud.,4.6,9.3,10.4,,,,,,,,,
CON,1,1,2,1770,Fabaceae,Lonchocaspus cultratus,5.9,10.3,,,,,,,,,,
