species,treatment,site,block,plot,tree_id,family,DBH_cm,height_m
Poecilanthe parviflora,DIV,2,1,1,79,Fabaceae,27.21635537686852,12.7
Poecilanthe parviflora,DIV,2,1,1,87,Fabaceae,14.362799170078235,12.2
Poecilanthe parviflora,DIV,2,1,2,109,Fabaceae,11.9,11.7
Psidium guajava,SAFM,2,1,2,67,Myrtaceae,10.5,4.0
Psidium guajava,CON,2,1,1,275,Myrtaceae,17.504570831642802,6.8
Psidium guajava,CON,2,1,2,291,Myrtaceae,13.36899397860587,7.5
Psidium guajava,CON,2,2,1,559,Myrtaceae,15.611854470241516,8.0
Psidium guajava,CON,2,2,1,563,Myrtaceae,18.27894964159593,6.4
Psidium guajava,CON,2,2,2,570,Myrtaceae,10.4,5.5
Pterogyne nitens,DIV,1,1,2,1314,Fabaceae,16.5,15.3
Pterogyne nitens,DIV,1,1,1,1306,Fabaceae,24.6,17.5
Pterogyne nitens,SAFM,1,2,2,7469,Fabaceae,28.6,20.2
Pterogyne nitens,CMLT,2,3,1,651,Fabaceae,11.8,9.5
Pterogyne nitens,SAFM,2,3,1,714,Fabaceae,32.7,11.9
Pterogyne nitens,SAFT,2,2,1,359,Fabaceae,38.6,19.8
Schinus terebinthifolia,DIV,1,1,1,1303,Anacardiaceae,26.419689627245813,16.7
Schinus terebinthifolia,SEM,1,3,2,1622,Anacardiaceae,12.44588285337766,11.5
Schinus terebinthifolia,DIV,1,2,1,4960,Anacardiaceae,17.4,12.7
Schinus terebinthifolia,DIV,2,1,1,85,Anacardiaceae,26.70037452920839,13.1
Schinus terebinthifolia,DIV,2,1,1,86,Anacardiaceae,10.2,9.5
Schinus terebinthifolia,DIV,2,2,0,800,Anacardiaceae,14.6,6.5
Schizolobium parahyba,SEM,1,1,,337,Fabaceae,46.2,20.5
Schizolobium parahyba,DIV,1,1,,192,Fabaceae,29.5,21.3
Schizolobium parahyba,DIV,1,1,,217,Fabaceae,20.7,11.7
Schizolobium parahyba,SEM,2,3,1,615,Fabaceae,35.0,16.6
Schizolobium parahyba,SEM,2,3,,353,Fabaceae,26.9,16.1
Senegalia polyphylla,DIV,2,3,1,586,Fabaceae,10.6,9.8
Senegalia polyphylla,DIV,2,3,1,592,Fabaceae,31.8,12.6
Senegalia polyphylla,DIV,2,3,1,594,Fabaceae,30.5,13.2
Senegalia polyphylla,SAFT,2,3,1,699,Fabaceae,10.2,9.2
Senegalia polyphylla,SAFM,2,3,1,721,Fabaceae,24.553207529770933,12.1
Urera baccifera,CMLT,1,2,2,1360,Urticaceae,10.7,5.3
Urera baccifera,SAFM,1,2,2,7462,Urticaceae,11.1,6.6
Urera baccifera,SAFM,1,2,2,7478,Urticaceae,10.4,7.3
Urera baccifera,SAFM,1,2,2,7479,Urticaceae,16.2,7.5
Urera baccifera,SAFM,1,2,2,7480,Urticaceae,14.322011031974526,6.4
Urera baccifera,SAFM,1,2,2,7482,Urticaceae,12.0,7.4
Zeyheria tuberculosa,SAFT,1,3,2,3223,Bignoniaceae,15.2,13.9
Zeyheria tuberculosa,SAFT,1,3,2,3224,Bignoniaceae,14.9,14.9
Zeyheria tuberculosa,SAFM,1,3,1,3230,Bignoniaceae,13.7,13.3
Zeyheria tuberculosa,SAFM,2,1,1,38,Bignoniaceae,14.6,11.2
Zeyheria tuberculosa,SAFT,2,2,2,383,Bignoniaceae,13.7,12.6
Zeyheria tuberculosa,CMLM,2,2,2,539,Bignoniaceae,11.6,8.5
